id,sales
0,11.283461
1,13.671922
2,15.109512
3,15.379978
4,16.728756
5,16.957508
6,19.932758
7,11.283461
8,13.671922
9,15.109512
10,15.379978
11,16.728756
12,16.957508
13,19.932758
14,11.283461
15,13.671922
16,15.109512
17,15.379978
18,16.728756
19,16.957508
20,19.932758
21,11.283461
22,13.671922
23,15.109512
24,15.379978
25,16.728756
26,16.957508
27,19.932758
28,11.283461
29,13.671922
30,15.109512
31,16.604612
32,17.927296
33,18.687065
34,21.423426
35,12.324767
36,14.065215
37,15.693656
38,16.604612
39,17.927296
40,18.687065
41,21.423426
42,12.324767
43,14.065215
44,15.693656
45,16.604612
46,17.927296
47,18.687065
48,21.423426
49,12.324767
50,14.065215
51,15.693656
52,16.604612
53,17.927296
54,18.687065
55,21.423426
56,12.324767
57,14.065215
58,15.693656
59,16.271954
60,18.425432
61,20.708885
62,22.040705
63,13.93387
64,17.066643
65,18.486515
66,16.271954
67,18.425432
68,20.708885
69,22.040705
70,13.93387
71,17.066643
72,18.486515
73,16.271954
74,18.425432
75,20.708885
76,22.040705
77,13.93387
78,17.066643
79,18.486515
80,16.271954
81,18.425432
82,20.708885
83,22.040705
84,13.93387
85,17.066643
86,18.486515
87,16.271954
88,18.425432
89,20.708885
90,17.596113
91,20.633747
92,21.612103
93,22.900661
94,25.135536
95,25.458998
96,26.568216
97,17.596113
98,20.633747
99,21.612103
100,22.900661
101,25.135536
102,25.458998
103,26.568216
104,17.596113
105,20.633747
106,21.612103
107,22.900661
108,25.135536
109,25.458998
110,26.568216
111,17.596113
112,20.633747
113,21.612103
114,22.900661
115,25.135536
116,25.458998
117,26.568216
118,17.596113
119,20.633747
120,21.612103
121,25.27486
122,27.71728
123,28.219696
124,29.75555
125,18.20382
126,21.49178
127,22.510603
128,25.27486
129,27.71728
130,28.219696
131,29.75555
132,18.20382
133,21.49178
134,22.510603
135,25.27486
136,27.71728
137,28.219696
138,29.75555
139,18.20382
140,21.49178
141,22.510603
142,25.27486
143,27.71728
144,28.219696
145,29.75555
146,18.20382
147,21.49178
148,22.510603
149,25.924566
150,29.777187
151,31.166441
152,32.00644
153,21.87935
154,27.163204
155,27.844193
156,25.924566
157,29.777187
158,31.166441
159,32.00644
160,21.87935
161,27.163204
162,27.844193
163,25.924566
164,29.777187
165,31.166441
166,32.00644
167,21.87935
168,27.163204
169,27.844193
170,25.924566
171,29.777187
172,31.166441
173,32.00644
174,21.87935
175,27.163204
176,27.844193
177,25.924566
178,29.777187
179,31.166441
180,16.200447
181,18.663593
182,19.234406
183,20.37009
184,21.403194
185,21.257643
186,21.110538
187,16.200447
188,18.663593
189,19.234406
190,20.37009
191,21.403194
192,21.257643
193,21.110538
194,16.200447
195,18.663593
196,19.234406
197,20.37009
198,21.403194
199,21.257643
200,21.110538
201,16.200447
202,18.663593
203,19.234406
204,20.37009
205,21.403194
206,21.257643
207,21.110538
208,16.200447
209,18.663593
210,19.234406
211,22.2678
212,23.127094
213,23.91572
214,24.96972
215,17.62587
216,19.816656
217,20.31293
218,22.2678
219,23.127094
220,23.91572
221,24.96972
222,17.62587
223,19.816656
224,20.31293
225,22.2678
226,23.127094
227,23.91572
228,24.96972
229,17.62587
230,19.816656
231,20.31293
232,22.2678
233,23.127094
234,23.91572
235,24.96972
236,17.62587
237,19.816656
238,20.31293
239,22.435232
240,25.667646
241,27.20423
242,27.418188
243,20.62752
244,24.683832
245,24.84227
